BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Adams2018","Adams, Matthew; Chen, Weijia; Holcdorf, David; McCusker, Mark W.; Howe, Piers D. L.; Gaillard, Frank","Computer vs human: Deep learning versus perceptual training for the detection of neck of femur fractures","Journal of Medical Imaging and Radiation Oncology",63,1,"November","27--32",2018,"","","","","","","","","Wiley","","","","","","","","","","",""
7,"","Arndt2017","Arndt, Brian G.; Beasley, John W.; Watkinson, Michelle D.; Temte, Jonathan L.; Tuan, Wen-Jan; Sinsky, Christine A.; Gilchrist, Valerie J.","Tethered to the EHR: Primary Care Physician Workload Assessment Using EHR Event Log Data and Time-Motion Observations","The Annals of Family Medicine",15,5,"September","419--426",2017,"","","","","","","","","Annals of Family Medicine","","","","","","","","","","",""
7,"","Bloomfield2019","Bloomfield, Riley A.; Williams, Harley A.; Broberg, Jordan S.; Lanting, Brent A.; McIsaac, Kenneth A.; Teeter, Matthew G.","Machine Learning Groups Patients by Early Functional Improvement Likelihood Based on Wearable Sensor Instrumented Preoperative Timed-Up-and-Go Tests","The Journal of Arthroplasty",34,10,"October","2267--2271",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Cabitza2018","Cabitza, Federico; Locoro, Angela; Banfi, Giuseppe","Machine Learning in Orthopedics: A Literature Review","Frontiers in Bioengineering and Biotechnology",6,,"June","",2018,"","","","","","","","","Frontiers Media SA","","","","","","","","","","",""
7,"","Esteva2019","Esteva, Andre; Robicquet, Alexandre; Ramsundar, Bharath; Kuleshov, Volodymyr; DePristo, Mark; Chou, Katherine; Cui, Claire; Corrado, Greg; Thrun, Sebastian; Dean, Jeff","A guide to deep learning in healthcare","Nature Medicine",25,1,"January","24--29",2019,"","","","","","","","","Springer Science and Business Media LLC","","","","","","","","","","",""
7,"","Gan2019","Gan, Kaifeng; Xu, Dingli; Lin, Yimu; Shen, Yandong; Zhang, Ting; Hu, Keqi; Zhou, Ke; Bi, Mingguang; Pan, Lingxiao; Wu, Wei; Liu, Yunpeng","Artificial intelligence detection of distal radius fractures: a comparison between the convolutional neural network and professional assessments","Acta Orthopaedica",90,4,"April","394--400",2019,"","","","","","","","","Medical Journals Sweden AB","","","","","","","","","","",""
7,"","Grote2019","Grote, Thomas; Berens, Philipp","On the ethics of algorithmic decision-making in healthcare","Journal of Medical Ethics",46,3,"November","205--211",2019,"","","","","","","","","BMJ","","","","","","","","","","",""
7,"","Haeberle2019","Haeberle, Heather S.; Helm, James M.; Navarro, Sergio M.; Karnuta, Jaret M.; Schaffer, Jonathan L.; Callaghan, John J.; Mont, Michael A.; Kamath, Atul F.; Krebs, Viktor E.; Ramkumar, Prem N.","Artificial Intelligence and Machine Learning in Lower Extremity Arthroplasty: A Review","The Journal of Arthroplasty",34,10,"October","2201--2203",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Helm2020","Helm, J. Matthew; Swiergosz, Andrew M.; Haeberle, Heather S.; Karnuta, Jaret M.; Schaffer, Jonathan L.; Krebs, Viktor E.; Spitzer, Andrew I.; Ramkumar, Prem N.","Machine Learning and Artificial Intelligence: Definitions, Applications, and Future Directions","Current Reviews in Musculoskeletal Medicine",13,1,"January","69--76",2020,"","","","","","","","","Springer Science and Business Media LLC","","","","","","","","","","",""
7,"","Kang2020","Kang, Yang-Jae; Yoo, Jun-Il; Cha, Yong-Han; Park, Chan H.; Kim, Jung-Taek","Machine learning–based identification of hip arthroplasty designs","Journal of Orthopaedic Translation",21,,"March","13--17",2020,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Karhade2019","Karhade, Aditya V.; Schwab, Joseph H.; Bedair, Hany S.","Development of Machine Learning Algorithms for Prediction of Sustained Postoperative Opioid Prescriptions After Total Hip Arthroplasty","The Journal of Arthroplasty",34,10,"October","2272--2277.e1",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Karnuta2020","Karnuta, Jaret M.; Luu, Bryan C.; Haeberle, Heather S.; Saluan, Paul M.; Frangiamore, Salvatore J.; Stearns, Kim L.; Farrow, Lutul D.; Nwachukwu, Benedict U.; Verma, Nikhil N.; Makhni, Eric C.; Schickendantz, Mark S.; Ramkumar, Prem N.","Machine Learning Outperforms Regression Analysis to Predict Next-Season Major League Baseball Player Injuries: Epidemiology and Validation of 13,982 Player-Years From Performance and Injury Profile Trends, 2000-2017","Orthopaedic Journal of Sports Medicine",8,11,"November","232596712096304",2020,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","Karnuta2020a","Karnuta, Jaret M.; Churchill, Jessica L.; Haeberle, Heather S.; Nwachukwu, Benedict U.; Taylor, Samuel A.; Ricchetti, Eric T.; Ramkumar, Prem N.","The value of artificial neural networks for predicting length of stay, discharge disposition, and inpatient costs after anatomic and reverse shoulder arthroplasty","Journal of Shoulder and Elbow Surgery",29,11,"November","2385--2394",2020,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Kotti2017","Kotti, Margarita; Duffell, Lynsey D.; Faisal, Aldo A.; McGregor, Alison H.","Detecting knee osteoarthritis and its discriminating parameters using random forests","Medical Engineering &amp; Physics",43,,"May","19--29",2017,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Lewis2018","Lewis, Melanie","It’s a Hard-Knock Life: Game Load, Fatigue, and Injury Risk in the National Basketball Association","Journal of Athletic Training",53,5,"May","503--509",2018,"","","","","","","","","Journal of Athletic Training/NATA","","","","","","","","","","",""
7,"","Lindsey2018","Lindsey, Robert; Daluiski, Aaron; Chopra, Sumit; Lachapelle, Alexander; Mozer, Michael; Sicular, Serge; Hanel, Douglas; Gardner, Michael; Gupta, Anurag; Hotchkiss, Robert; Potter, Hollis","Deep neural network improves fracture detection by clinicians","Proceedings of the National Academy of Sciences",115,45,"October","11591--11596",2018,"","","","","","","","","Proceedings of the National Academy of Sciences","","","","","","","","","","",""
7,"","Luu2020","Luu, Bryan C.; Wright, Audrey L.; Haeberle, Heather S.; Karnuta, Jaret M.; Schickendantz, Mark S.; Makhni, Eric C.; Nwachukwu, Benedict U.; Williams, Riley J.; Ramkumar, Prem N.","Machine Learning Outperforms Logistic Regression Analysis to Predict Next-Season NHL Player Injury: An Analysis of 2322 Players From 2007 to 2017","Orthopaedic Journal of Sports Medicine",8,9,"September","232596712095340",2020,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","MacDorman2016","MacDorman, Marian F.; Declercq, Eugene; Cabral, Howard; Morton, Christine","Recent Increases in the U.S. Maternal Mortality Rate: Disentangling Trends From Measurement Issues","Obstetrics &amp; Gynecology",128,3,"September","447--455",2016,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
5,"9783642715372","Maxmen1987","Maxmen, Jerrold S.","Long-Term Trends in Health Care: The Post-Physician Era Reconsidered","",,,"","109--115",1987,"","","","Indicators and Trends in Health and Health Care","","","","","Springer Berlin Heidelberg","","","","","","","","","","",""
7,"","Wyatt2015","Wyatt, Jeremy C.","Fifty million people use computerised self triage","BMJ",,,"July","h3727",2015,"","","","","","","","","BMJ","","","","","","","","","","",""
7,"","Wyles2019","Wyles, Cody C.; Tibbo, Meagan E.; Fu, Sunyang; Wang, Yanshan; Sohn, Sunghwan; Kremers, Walter K.; Berry, Daniel J.; Lewallen, David G.; Maradit-Kremers, Hilal","Use of Natural Language Processing Algorithms to Identify Common Data Elements in Operative Notes for Total Hip Arthroplasty","Journal of Bone and Joint Surgery",101,21,"November","1931--1938",2019,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
7,"","Zhang2019","Zhang, Jenny; Dushaj, Kristina; Rasquinha, Vijay J.; Scuderi, Giles R.; Hepinstall, Matthew S.","Monitoring Surgical Incision Sites in Orthopedic Patients Using an Online Physician-Patient Messaging Platform","The Journal of Arthroplasty",34,9,"September","1897--1900",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Menendez2019","Menendez, Mariano E.; Shaker, Jonathan; Lawler, Sarah M.; Ring, David; Jawa, Andrew","Negative Patient-Experience Comments After Total Shoulder Arthroplasty","Journal of Bone and Joint Surgery",101,4,"February","330--337",2019,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
7,"","Milinovich2018","Milinovich, Alex; Kattan, Michael W.","Extracting and utilizing electronic health data from Epic for research","Annals of Translational Medicine",6,3,"February","42--42",2018,"","","","","","","","","AME Publishing Company","","","","","","","","","","",""
7,"","Mintz2019","Mintz, Yoav; Brodie, Ronit","Introduction to artificial intelligence in medicine","Minimally Invasive Therapy &amp; Allied Technologies",28,2,"February","73--81",2019,"","","","","","","","","Informa UK Limited","","","","","","","","","","",""
7,"","Myers2020","Myers, Thomas G.; Ramkumar, Prem N.; Ricciardi, Benjamin F.; Urish, Kenneth L.; Kipper, Jens; Ketonis, Constantinos","Artificial Intelligence and Orthopaedics: An Introduction for Clinicians","Journal of Bone and Joint Surgery",102,9,"February","830--840",2020,"","","","","","","","","Ovid Technologies (Wolters Kluwer Health)","","","","","","","","","","",""
7,"","Navarro2018","Navarro, Sergio M.; Wang, Eric Y.; Haeberle, Heather S.; Mont, Michael A.; Krebs, Viktor E.; Patterson, Brendan M.; Ramkumar, Prem N.","Machine Learning and Primary Total Knee Arthroplasty: Patient Forecasting for a Patient-Specific Payment Model","The Journal of Arthroplasty",33,12,"December","3617--3623",2018,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Nwachukwu2019","Nwachukwu, Benedict U.; Beck, Edward C.; Lee, Elaine K.; Cancienne, Jourdan M.; Waterman, Brian R.; Paul, Katlynn; Nho, Shane J.","Application of Machine Learning for Predicting Clinically Meaningful Outcome After Arthroscopic Femoroacetabular Impingement Surgery","The American Journal of Sports Medicine",48,2,"December","415--423",2019,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","Papanicolas2018","Papanicolas, Irene; Woskie, Liana R.; Jha, Ashish K.","Health Care Spending in the United States and Other High-Income Countries","JAMA",319,10,"March","1024",2018,"","","","","","","","","American Medical Association (AMA)","","","","","","","","","","",""
7,"","Podgorelec2002","Podgorelec, Vili; Kokol, Peter; Stiglic, Bruno; Rozman, Ivan","Decision trees: an overview and their use in medicine","Journal of Medical Systems",26,5,"","445--463",2002,"","","","","","","","","Springer Science and Business Media LLC","","","","","","","","","","",""
7,"","Puschmann2018","Puschmann, Cornelius; Powell, Alison","Turning Words Into Consumer Preferences: How Sentiment Analysis Is Framed in Research and the News Media","Social Media + Society",4,3,"July","205630511879772",2018,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","Ramkumar2019","Ramkumar, Prem N.; Haeberle, Heather S.; Bloomfield, Michael R.; Schaffer, Jonathan L.; Kamath, Atul F.; Patterson, Brendan M.; Krebs, Viktor E.","Artificial Intelligence and Arthroplasty at a Single Institution: Real-World Applications of Machine Learning to Big Data, Value-Based Care, Mobile Health, and Remote Patient Monitoring","The Journal of Arthroplasty",34,10,"October","2204--2209",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Ramkumar2019a","Ramkumar, Prem N.; Haeberle, Heather S.; Ramanathan, Deepak; Cantrell, William A.; Navarro, Sergio M.; Mont, Michael A.; Bloomfield, Michael; Patterson, Brendan M.","Remote Patient Monitoring Using Mobile Health for Total Knee Arthroplasty: Validation of a Wearable and Machine Learning–Based Surveillance Platform","The Journal of Arthroplasty",34,10,"October","2253--2259",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Ramkumar2020","Ramkumar, Prem N.; Karnuta, Jaret M.; Haeberle, Heather S.; Sullivan, Spencer W.; Nawabi, Danyal H.; Ranawat, Anil S.; Kelly, Bryan T.; Nwachukwu, Benedict U.","Radiographic Indices Are Not Predictive of Clinical Outcomes Among 1735 Patients Indicated for Hip Arthroscopic Surgery: A Machine Learning Analysis","The American Journal of Sports Medicine",48,12,"September","2910--2918",2020,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","Ramkumar2019b","Ramkumar, Prem N.; Karnuta, Jaret M.; Navarro, Sergio M.; Haeberle, Heather S.; Scuderi, Giles R.; Mont, Michael A.; Krebs, Viktor E.; Patterson, Brendan M.","Deep Learning Preoperatively Predicts Value Metrics for Primary Total Knee Arthroplasty: Development and Validation of an Artificial Neural Network Model","The Journal of Arthroplasty",34,10,"October","2220--2227.e1",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Ramkumar2019c","Ramkumar, Prem N.; Navarro, Sergio M.; Haeberle, Heather S.; Karnuta, Jaret M.; Mont, Michael A.; Iannotti, Joseph P.; Patterson, Brendan M.; Krebs, Viktor E.","Development and Validation of a Machine Learning Algorithm After Primary Total Hip Arthroplasty: Applications to Length of Stay and Payment Models","The Journal of Arthroplasty",34,4,"April","632--637",2019,"","","","","","","","","Elsevier BV","","","","","","","","","","",""
7,"","Rodeo2016","Rodeo, Scott A.","Biologic Approaches in Sports Medicine: Potential, Perils, and Paths Forward","The American Journal of Sports Medicine",44,7,"July","1657--1659",2016,"","","","","","","","","SAGE Publications","","","","","","","","","","",""
7,"","Schork2015","Schork, Nicholas J.","Personalized medicine: Time for one-person trials","Nature",520,7549,"April","609--611",2015,"","","","","","","","","Springer Science and Business Media LLC","","","","","","","","","","",""
7,"","Semigran2015","Semigran, Hannah L.; Linder, Jeffrey A.; Gidengil, Courtney; Mehrotra, Ateev","Evaluation of symptom checkers for self diagnosis and triage: audit study","BMJ",,,"July","h3480",2015,"","","","","","","","","BMJ","","","","","","","","","","",""
7,"","Sovacool2009","Sovacool, Benjamin K.","Early modes of transport in the United States: Lessons for modern energy policymakers","Policy and Society",27,4,"March","411--427",2009,"","","","","","","","","Oxford University Press (OUP)","","","","","","","","","","",""
7,"","Tai‐Seale2007","Tai‐Seale, Ming; McGuire, Thomas G.; Zhang, Weimin","Time Allocation in Primary Care Office Visits","Health Services Research",42,5,"January","1871--1894",2007,"","","","","","","","","Wiley","","","","","","","","","","",""
7,"","Topol2019","Topol, Eric J.","High-performance medicine: the convergence of human and artificial intelligence","Nature Medicine",25,1,"January","44--56",2019,"","","","","","","","","Springer Science and Business Media LLC","","","","","","","","","","",""
